,codigo,cat,nombre,ubicacion,area_ha,interseccion_ha,interseccion_porc,lote_petrolero,empresa,pais
0,ACR10,Área de Conservación Regional,Alto Nanay- Pintuyacu Chambira,Loreto,954635.484423,644642.296092,67.52758583,"F38-19, SM33-17", ,Perú
1,RC03,Reserva Comunal,Amarakaeri,Madre de Dios,403813.819306,205228.42664,50.82253673,SM53-19, ,Perú
2,ACR01,Área de Conservación Regional,Cordillera Escalera,San Martín,149869.689812,147363.7604,98.32792781,103,"REPSOL EXPLORACION PERU, SUCURSAL DEL PERU",Perú
3,ACR06,Área de Conservación Regional,Imiria,Ucayali,135737.520284,135737.3694,99.99988884,SM 05-17, ,Perú
4,RC05,Reserva Comunal,Machiguenga,Cusco,218905.630109,125332.138857,57.25395861,"57,58,F42-19",CNPC PERU S.A.,Perú
5,BP04,Bosque de Protección,San Matias-San Carlos,Pasco,148290.961657,98256.282169,66.25911726,107108,"PLUSPETROL E&P S.A , PETROLIFERA PETROLEUM DEL PERU S.R.L",Perú
6,RC07,Reserva Comunal,Tuntanain,Amazonas,94986.613855,46148.716555,48.58444225,116,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
7,RN14,Reserva Nacional,Pucacuro,Loreto,637953.834003,39816.122272,6.241223134,39,PERENCO PERU PETROLEUM LIMITED SUCURSAL DEL PERU,Perú
8,RC04,Reserva Comunal,Ashaninka,Junín y Cusco,184468.38292,35283.73464,19.12725318,"108,F42-19","PLUSPETROL E&P S.A. , REPSOL EXPLORATION PERÚ",Perú
9,RN08,Reserva Nacional,Pacaya-Samiria,Loreto,2170247.4513,29999.710141,1.382317492,8,PLUSPETROL NORTE S.A.,Perú
10,RC01,Reserva Comunal,Yanesha,Pasco,34340.370034,8895.782558,25.90473705,107,PETROLIFERA PETROLEUM DEL PERU S.R.L,Perú
11,ACR19,Área de Conservación Regional,Vista Alegre-Omia,Amazonas,48944.508115,2308.801038,4.717181001,LVIII,YPF E & PERU S.A.C,Perú
12,PN07,Parque Nacional,Yanachaga-Chemillén,Pasco,113732.343586,39.017752,0.03430664556,107,PETROLIFERA PETROLEUM DEL PERU S.R.L,Perú
13,PN09,Parque Nacional,Cordillera Azul,"San Martín, Loreto, Ucayali y Huánuco",1353190.84548,1.532332,0.000113238425,LXIII,REPSOL EXPLORACIÓN S.A.,Perú
14,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,GUAVIARE,2131394.44112,498335.197198,23.38071206,"CPE-8, RESERVADA ON","AGENCIA NACIONAL DE HIDROCARBUROS, TALISMAN COLOMBIA OIL & GAS LTD",Colombia
15,,Reserva Forestal (Ley2a. de 1959),A,CAQUETA,1048805.38568,330094.419121,31.47337186,"DISPONIBLE ON, SAMICHAY B, SANGRE TORO","AGENCIA NACIONAL DE HIDROCARBUROS, ECOPETROL S.A., SHONA ENERGY (COLOMBIA) LIMITEL",Colombia
16,,Reserva Forestal (Ley2a. de 1959),A,CAQUETA,285402.757743,284140.770852,99.55782246,"DISPONIBLE ON, SAMICHAY A, TACACHO","AGENCIA NACIONAL DE HIDROCARBUROS, AMERISUR EXPLORACION COLOMBIA LIMITED, ECOPETROL S.A.",Colombia
17,,Reserva Forestal (Ley2a. de 1959),A,"GUAINIA, GUAVIARE",499315.765127,216047.163256,43.26864448,CPE-8,TALISMAN COLOMBIA OIL & GAS LTD,Colombia
18,,Reserva Forestal (Ley2a. de 1959),A,CAQUETA,245125.492541,206358.787856,84.18495592,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
19,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,185382.910067,185382.910054,99.99999999,"DISPONIBLE ON, RESERVADA ON","AGENCIA NACIONAL DE HIDROCARBUROS, ECOPETROL S.A.",Colombia
20,,Reserva Forestal (Ley2a. de 1959),A,CAQUETA,150827.144241,150827.144241,100.0,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
21,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,"GUAINIA, GUAVIARE",13128034.078,135925.768668,1.035385556,"CPE-8, DISPONIBLE ON","TALISMAN COLOMBIA OIL & GAS LTD, AGENCIA NACIONAL DE HIDROCARBUROS",Colombia
22,,Reserva Forestal (Ley2a. de 1959),A,CAQUETA,864432.058896,106618.03995,12.33388314,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
23,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,"GUAINIA, VICHADA",89100.145946,69612.038461,78.12786132,CPE-8,TALISMAN COLOMBIA OIL & GAS LTD,Colombia
24,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,CAQUETA,64376.469921,62290.832553,96.76024894,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
25,,Reserva Forestal (Ley2a. de 1959),B,"CAQUETA, PUTUMAYO",75396.809808,55698.914324,73.8743648,"DISPONIBLE ON, TACACHO",AMERISUR EXPLORACION COLOMBIA LIMITED,Colombia
26,,Reserva Forestal (Ley2a. de 1959),B,"GUAVIARE, META",55210.291557,55210.291557,100.0,RESERVADA ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
27,,Reserva Forestal (Ley2a. de 1959),A,CAQUETA,47744.982771,47744.87551,99.99977535,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
28,,Reserva Forestal (Ley2a. de 1959),A,"GUAVIARE, META",47393.252967,47393.252967,100.0,RESERVADA ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
29,,Reserva Forestal (Ley2a. de 1959),A,"GUAVIARE, META",39759.609668,39759.609668,100.0,RESERVADA ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
30,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,38794.443706,38794.443709,100.0,SAMICHAY B,ECOPETROL S.A.,Colombia
31,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,32500.056397,32500.053227,99.99999025,"CAH 5, NOGAL",EMERALD ENERGY PLC,Colombia
32,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,29217.830977,29217.830978,100.0,"CAG 5, TACACHO","EMERALD ENERGY PLC, AMERISUR EXPLORACION COLOMBIA LIMITED",Colombia
33,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,40260.621503,25966.248754,64.49539968,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
34,,Reserva Forestal (Ley2a. de 1959),A,CAQUETA,82565.01674,24875.707886,30.12862937,DISPONIBLE ON,"AGENCIA NACIONAL DE HIDROCARBUROS, EMERALD ENERGY PLC",Colombia
35,,Reserva Forestal (Ley2a. de 1959),B,"GUAVIARE, META",74809.776296,22496.549917,30.07167115,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
36,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,82336.645758,20232.483936,24.57287852,"DISPONIBLE ON, RESERVADA ON",AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
37,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,"GUAINIA, VICHADA",20823.496534,17606.04238,84.54892458,CPE-8,TALISMAN COLOMBIA OIL & GAS LTD,Colombia
38,,Reserva Forestal (Ley2a. de 1959),A,"GUAINIA, VICHADA",16096.361315,16096.361315,100.0,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
39,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,16082.264415,16082.262271,99.99998667,"CAG 5, NOGAL",EMERALD ENERGY PLC,Colombia
40,,Reserva Forestal (Ley2a. de 1959),B,PUTUMAYO,16059.894781,16059.894785,100.0,"AREA SUR, DISPONIBLE ON, ORITO, RESERVADA ON","AGENCIA NACIONAL DE HIDROCARBUROS, ECOPETROL S.A.",Colombia
41,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,15654.775253,15654.775253,100.0,"DISPONIBLE ON, NOGAL","AGENCIA NACIONAL DE HIDROCARBUROS, EMERALD ENERGY PLC",Colombia
42,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,13631.547499,13631.547033,99.99999658,"CAG 5, TACACHO","EMERALD ENERGY PLC, AMERISUR EXPLORACION COLOMBIA LIMITED",Colombia
43,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,"GUAINIA, GUAVIARE, VICHADA",14967.969319,12808.223082,85.57088012,CPE-8,TALISMAN COLOMBIA OIL & GAS LTD,Colombia
44,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,CAQUETA,35631.237123,11750.634304,32.97846287,VSM 32,EMERALD ENERGY PLC,Colombia
45,,Reserva Forestal (Ley2a. de 1959),A,CAQUETA,24800.751867,11487.867614,46.32064252,"DISPONIBLE ON, RESERVADA ON",AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
46,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,9410.284145,9410.284145,100.0,"DISPONIBLE ON, NOGAL",AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
47,,Reserva Forestal (Ley2a. de 1959),A,CAQUETA,8507.638921,8507.638921,100.0,"DISPONIBLE ON, RESERVADA ON",AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
48,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,GUAVIARE,8453.213623,8453.213623,100.0,RESERVADA ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
49,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,CAQUETA,8320.210291,8320.210291,100.0,TACACHO,AMERISUR EXPLORACION COLOMBIA LIMITED,Colombia
50,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,7235.629209,7235.629209,100.0,"DISPONIBLE ON, RESERVADA ON",AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
51,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,CAQUETA,16876.569556,6497.399032,38.49952451,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
52,,Reserva Forestal (Ley2a. de 1959),B,"GUAINIA, VICHADA",6360.414861,6360.414861,100.0,CPE-8,TALISMAN COLOMBIA OIL & GAS LTD,Colombia
53,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,22363.561549,5820.332498,26.02596409,RESERVADA ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
54,,Reserva Forestal (Ley2a. de 1959),A,"GUAVIARE, META",5701.297341,5701.297341,100.0,RESERVADA ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
55,,Reserva Forestal (Ley2a. de 1959),A,CAQUETA,4871.177849,4871.177849,100.0,"DISPONIBLE ON, RESERVADA ON",AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
56,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,CAQUETA,3858.451892,3858.451892,100.0,SAMICHAY A,ECOPETROL S.A.,Colombia
57,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,"GUAINIA, VICHADA",3333.012054,3333.012054,100.0,CPE-8,TALISMAN COLOMBIA OIL & GAS LTD,Colombia
58,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,"GUAINIA, VICHADA",2477.860797,2477.860797,100.0,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
59,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,62178.977983,2286.920981,3.677964893,RESERVADA ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
60,,Reserva Forestal (Ley2a. de 1959),B,"META, CAQUETA",2232.139762,2232.139762,100.0,RESERVADA ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
61,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,"CAQUETA, PUTUMAYO",6868811.99472,2092.021196,0.03045681258,"DISPONIBLE ON, TACACHO","AMERISUR EXPLORACION COLOMBIA LIMITED, AGENCIA NACIONAL DE HIDROCARBUROS",Colombia
62,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,"GUAINIA, VICHADA",2060.980816,2060.980816,100.0,CPE-8,TALISMAN COLOMBIA OIL & GAS LTD,Colombia
63,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,"GUAINIA, VICHADA",1834.172752,1834.172752,100.0,CPE-8,TALISMAN COLOMBIA OIL & GAS LTD,Colombia
64,,Parque Nacional Natural,La Paya,PUTUMAYO,439595.316313,1787.473482,0.4066179542,TERECAY,AMERISUR EXPLORACION COLOMBIA LIMITED,Colombia
65,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,GUAVIARE,1703.755639,1703.755639,100.0,RESERVADA ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
66,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,6416.978367,1696.028565,26.4303301,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
67,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,CAQUETA,1675.262553,1675.262553,100.0,SAMICHAY A,ECOPETROL S.A.,Colombia
68,,Reserva Forestal (Ley2a. de 1959),A,CAQUETA,12192.605242,1636.550748,13.42248613,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
69,,Reserva Forestal (Ley2a. de 1959),A,"GUAINIA, VICHADA",1556.664244,1556.664244,100.0,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
70,,Reserva Forestal (Ley2a. de 1959),B,GUAINIA,4455.087589,1487.721768,33.39377146,CPE-8,TALISMAN COLOMBIA OIL & GAS LTD,Colombia
71,,Reserva Forestal (Ley2a. de 1959),B,PUTUMAYO,1349.410983,1349.410983,100.0,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
72,,Reserva Forestal (Ley2a. de 1959),B,"GUAINIA, VICHADA",1202.173099,1202.173099,100.0,CPE-8,TALISMAN COLOMBIA OIL & GAS LTD,Colombia
73,,Parque Nacional Natural,Sumapaz,META,152830.357169,1175.383331,0.7690771341,CPO 9,ECOPETROL S.A.,Colombia
74,,Reserva Forestal (Ley2a. de 1959),B,PUTUMAYO,841.212178,841.212178,100.0,PUT 1,GRAN TIERRA ENERGY COLOMBIA LLC,Colombia
75,,Reserva Forestal (Ley2a. de 1959),B,"GUAINIA, VICHADA",763.585877,763.585877,100.0,CPE-8,TALISMAN COLOMBIA OIL & GAS LTD,Colombia
